team_abbr,season,expected_wins,wins_p10,wins_p25,wins_p50,wins_p75,wins_p90,playoff_proxy_probability,simulation_note
OKC,2026-27,62.1,57,60,62,65,67,0.9999,Independent-win fallback; schedule provider unavailable.
SAS,2026-27,59.56,54,57,60,62,65,0.9999,Independent-win fallback; schedule provider unavailable.
BOS,2026-27,54.53,49,52,55,58,60,0.99,Independent-win fallback; schedule provider unavailable.
NYK,2026-27,53.09,48,50,53,56,59,0.9738,Independent-win fallback; schedule provider unavailable.
DET,2026-27,52.54,47,50,53,55,58,0.9663,Independent-win fallback; schedule provider unavailable.
HOU,2026-27,48.91,43,46,49,52,55,0.841,Independent-win fallback; schedule provider unavailable.
CLE,2026-27,47.53,42,45,48,51,53,0.7546,Independent-win fallback; schedule provider unavailable.
DEN,2026-27,47.36,42,44,47,50,53,0.74,Independent-win fallback; schedule provider unavailable.
MIN,2026-27,47.06,41,44,47,50,53,0.7208,Independent-win fallback; schedule provider unavailable.
PHI,2026-27,46.98,41,44,47,50,53,0.7106,Independent-win fallback; schedule provider unavailable.
TOR,2026-27,45.95,40,43,46,49,52,0.6299,Independent-win fallback; schedule provider unavailable.
ATL,2026-27,45.39,40,42,45,48,51,0.5784,Independent-win fallback; schedule provider unavailable.
MIA,2026-27,44.58,39,42,45,48,50,0.5051,Independent-win fallback; schedule provider unavailable.
LAL,2026-27,44.13,38,41,44,47,50,0.4676,Independent-win fallback; schedule provider unavailable.
CHO,2026-27,42.95,37,40,43,46,49,0.3694,Independent-win fallback; schedule provider unavailable.
ORL,2026-27,42.73,37,40,43,46,49,0.3494,Independent-win fallback; schedule provider unavailable.
POR,2026-27,42.39,37,39,42,45,48,0.3209,Independent-win fallback; schedule provider unavailable.
PHO,2026-27,41.87,36,39,42,45,48,0.2841,Independent-win fallback; schedule provider unavailable.
GSW,2026-27,38.5,33,35,38,42,44,0.092,Independent-win fallback; schedule provider unavailable.
LAC,2026-27,35.96,30,33,36,39,42,0.03,Independent-win fallback; schedule provider unavailable.
IND,2026-27,34.3,29,31,34,37,40,0.0114,Independent-win fallback; schedule provider unavailable.
UTA,2026-27,31.4,26,28,31,34,37,0.0014,Independent-win fallback; schedule provider unavailable.
MEM,2026-27,31.28,26,28,31,34,37,0.0007,Independent-win fallback; schedule provider unavailable.
DAL,2026-27,30.97,25,28,31,34,37,0.0014,Independent-win fallback; schedule provider unavailable.
NOP,2026-27,30.18,24,27,30,33,36,0.0003,Independent-win fallback; schedule provider unavailable.
MIL,2026-27,29.79,24,27,30,33,35,0.0007,Independent-win fallback; schedule provider unavailable.
WAS,2026-27,27.18,22,24,27,30,33,0.0,Independent-win fallback; schedule provider unavailable.
BRK,2026-27,26.56,21,24,26,29,32,0.0001,Independent-win fallback; schedule provider unavailable.
CHI,2026-27,26.42,21,23,26,29,32,0.0,Independent-win fallback; schedule provider unavailable.
SAC,2026-27,21.62,17,19,22,24,27,0.0,Independent-win fallback; schedule provider unavailable.
