team_abbr,live_roster_count,live_active_roster_count,live_avg_age,live_salary_total,live_salary_player_count,live_salary_top3,live_salary_top3_share,live_injury_count,live_injury_burden,scheduled_regular_season_games,scheduled_home_games,live_transactions_since_july,live_injury_source_available,live_schedule_source_available,live_schedule_provider,schedule_unresolved_games,fetched_at_utc
ATL,24,24,,0.0,0,0.0,,3.0,0.8999999999999999,80,40,29,True,True,Basketball-Reference,2,2026-09-02T19:49:20.921475+00:00
BOS,19,19,,0.0,0,0.0,,1.0,0.3,80,40,23,True,True,Basketball-Reference,2,2026-09-02T19:49:20.921475+00:00
BRK,17,17,,0.0,0,0.0,,1.0,0.3,80,40,25,True,True,Basketball-Reference,2,2026-09-02T19:49:20.921475+00:00
CHO,23,23,,0.0,0,0.0,,2.0,0.6,80,40,31,True,True,Basketball-Reference,2,2026-09-02T19:49:20.921475+00:00
CHI,16,16,,0.0,0,0.0,,4.0,1.2,80,40,31,True,True,Basketball-Reference,2,2026-09-02T19:49:20.921475+00:00
CLE,17,17,,0.0,0,0.0,,0.0,0.0,80,40,22,True,True,Basketball-Reference,2,2026-09-02T19:49:20.921475+00:00
DAL,20,20,,0.0,0,0.0,,3.0,0.8999999999999999,80,40,24,True,True,Basketball-Reference,2,2026-09-02T19:49:20.921475+00:00
DEN,18,18,,0.0,0,0.0,,2.0,0.6,80,40,15,True,True,Basketball-Reference,2,2026-09-02T19:49:20.921475+00:00
DET,20,20,,0.0,0,0.0,,0.0,0.0,80,40,19,True,True,Basketball-Reference,2,2026-09-02T19:49:20.921475+00:00
GSW,21,21,,0.0,0,0.0,,2.0,2.0,80,40,17,True,True,Basketball-Reference,2,2026-09-02T19:49:20.921475+00:00
HOU,21,21,,0.0,0,0.0,,3.0,0.8999999999999999,80,40,14,True,True,Basketball-Reference,2,2026-09-02T19:49:20.921475+00:00
IND,17,17,,0.0,0,0.0,,2.0,1.3,80,40,15,True,True,Basketball-Reference,2,2026-09-02T19:49:20.921475+00:00
LAC,25,25,,0.0,0,0.0,,3.0,1.6,80,40,25,True,True,Basketball-Reference,2,2026-09-02T19:49:20.921475+00:00
LAL,19,19,,0.0,0,0.0,,0.0,0.0,80,40,21,True,True,Basketball-Reference,2,2026-09-02T19:49:20.921475+00:00
MEM,22,22,,0.0,0,0.0,,6.0,2.5,80,40,37,True,True,Basketball-Reference,2,2026-09-02T19:49:20.921475+00:00
MIA,20,20,,0.0,0,0.0,,5.0,1.5,80,40,15,True,True,Basketball-Reference,2,2026-09-02T19:49:20.921475+00:00
MIL,20,20,,0.0,0,0.0,,1.0,0.3,80,40,23,True,True,Basketball-Reference,2,2026-09-02T19:49:20.921475+00:00
MIN,17,17,,0.0,0,0.0,,1.0,1.0,80,40,19,True,True,Basketball-Reference,2,2026-09-02T19:49:20.921475+00:00
NOP,20,20,,0.0,0,0.0,,2.0,0.6,80,40,11,True,True,Basketball-Reference,2,2026-09-02T19:49:20.921475+00:00
NYK,17,17,,0.0,0,0.0,,2.0,0.6,80,40,10,True,True,Basketball-Reference,2,2026-09-02T19:49:20.921475+00:00
OKC,17,17,,0.0,0,0.0,,6.0,1.7999999999999998,80,40,19,True,True,Basketball-Reference,2,2026-09-02T19:49:20.921475+00:00
ORL,17,17,,0.0,0,0.0,,3.0,0.8999999999999999,80,40,10,True,True,Basketball-Reference,2,2026-09-02T19:49:20.921475+00:00
PHI,23,23,,0.0,0,0.0,,1.0,0.3,80,40,21,True,True,Basketball-Reference,2,2026-09-02T19:49:20.921475+00:00
PHO,20,20,,0.0,0,0.0,,2.0,0.6,80,40,17,True,True,Basketball-Reference,2,2026-09-02T19:49:20.921475+00:00
POR,19,19,,0.0,0,0.0,,3.0,1.6,80,40,11,True,True,Basketball-Reference,2,2026-09-02T19:49:20.921475+00:00
SAC,15,15,,0.0,0,0.0,,4.0,1.2,80,40,16,True,True,Basketball-Reference,2,2026-09-02T19:49:20.921475+00:00
SAS,18,18,,0.0,0,0.0,,2.0,1.3,80,40,16,True,True,Basketball-Reference,2,2026-09-02T19:49:20.921475+00:00
TOR,21,21,,0.0,0,0.0,,6.0,1.7999999999999998,80,40,15,True,True,Basketball-Reference,2,2026-09-02T19:49:20.921475+00:00
UTA,22,22,,0.0,0,0.0,,2.0,0.6,80,40,30,True,True,Basketball-Reference,2,2026-09-02T19:49:20.921475+00:00
WAS,18,18,,0.0,0,0.0,,4.0,1.9,80,40,24,True,True,Basketball-Reference,2,2026-09-02T19:49:20.921475+00:00
